Question                  Correct Label               Predict Label
What river runs through Rowe , Italy ?       LOC:other       ENTY:product
What is cerebral palsy ?       DESC:def       NUM:date
What city is also known as `` The Gateway to the West '' ?       LOC:city       LOC:other
How far away is the moon ?       NUM:dist       LOC:city
What is the source of natural gas ?       ENTY:other       NUM:date
In what spacecraft did U.S. astronaut Alan Shepard make his historic 1961 flight ?       ENTY:veh       ENTY:techmeth
What is pectin ?       DESC:def       ENTY:dismed
What is bio-diversity ?       DESC:def       ENTY:techmeth
What 's the easiest way to remove wallpaper ?       ENTY:techmeth       ENTY:techmeth
What year did the Titanic start on its journey ?       NUM:date       ENTY:sport
How much of an apple is water ?       NUM:count       ENTY:techmeth
Who was the 22nd President of the US ?       HUM:ind       LOC:city
What is the money they use in Zambia ?       ENTY:currency       ENTY:food
How many feet in a mile ?       NUM:count       LOC:other
What is the birthstone of October ?       ENTY:substance       LOC:city
What is e-coli        DESC:def       ENTY:techmeth
